x,y,token
-1.7555673,-16.943674,beautiful
17.656805,44.144638,wrong
52.59067,18.43735,subject
-51.846058,14.214133,host
-19.502785,2.9466038,filled
-28.429262,16.946228,lie
-59.769356,22.34864,levites
17.695032,44.117634,doing
-3.9480946,28.394884,secret
-4.675296,-23.269775,watch
-40.598324,46.46802,44
-20.278528,10.361912,lived
-30.482899,5.7805734,break
20.351995,3.7112825,real
7.055731,-40.888206,held
-13.5117655,7.639003,song
-53.730232,36.753494,abraham
-16.391636,-59.2871,foot
-54.749954,13.713879,philistines
-69.55667,7.6738343,thirty
-50.900196,17.679132,jews
24.105186,23.918962,question
23.926151,36.42323,comfort
-58.45421,3.7079375,east
-36.304996,-30.230253,mountains
-14.203323,-6.7981024,hell
-32.644363,-11.582332,houses
24.271267,0.60893977,seems
33.04581,26.099272,account
23.45762,-51.249325,stubb
18.337967,-42.920666,taking
-9.713727,42.845898,command
-50.311073,2.5532465,temple
-28.988424,-5.49453,bow
-63.012432,20.37096,tribe
49.46311,-24.106121,louisa
-56.42625,28.1712,bare
-39.03538,2.2140315,therein
-54.038574,29.555618,joseph
-16.374893,33.650177,righteous
-7.789315,46.45739,kill
14.353736,9.42251,order
-14.59844,18.946426,throne
-39.077393,-9.585013,beast
23.594336,-51.52433,queequeg
-55.187572,-3.6310904,ark
-14.745902,26.520618,ears
-14.688944,27.183664,tongue
38.18696,0.23877877,late
-47.543396,-11.232338,stones
-58.5285,3.672329,north
63.55755,20.492786,mrs_weston
22.06852,-4.984958,story
-39.69519,27.356459,prophets
37.222836,0.4181987,everything
-52.172832,15.821257,smote
-42.039234,26.95772,disciples
35.537292,-36.8961,smile
11.36669,-49.788937,sitting
47.079983,-16.695417,speaking
-44.370613,29.176977,paul
-17.456762,-0.41770437,horses
58.47572,2.015764,entered
-57.055183,-9.493523,sacrifice
2.4028826,27.56964,believed
-13.146324,-50.301163,arms
35.144264,-3.5142977,talking
-45.333126,21.080326,departed
-13.246966,24.865889,wrath
-23.059,-39.390865,bright
-6.946605,39.27018,trust
50.419243,1.7679251,met
-23.823437,3.0893145,lifted
-26.58233,-40.274937,sky
8.673607,-51.014442,caught
58.372753,22.102003,perfectly
-1.4774785,-13.403139,plain
4.5310483,3.690458,human
-12.489515,52.05622,understanding
-16.630201,42.782032,stranger
-40.22753,11.769321,inheritance
-51.510597,10.384884,dwelt
18.815083,-47.539284,turning
-17.6866,-54.02258,hat
-29.087057,0.36357224,rich
-27.3769,-14.079567,heads
-44.710693,17.756863,thence
-51.038937,1.524701,built
-6.4403925,24.601051,trouble
-40.972847,41.88446,lo
3.7703433,-62.146305,across
-12.865046,41.660164,desire
-69.167274,7.5135865,fifty
-27.933096,-36.988045,cloud
22.55671,42.51231,greater
-1.8171948,34.61476,loved
-41.90639,46.6503,43
51.405815,3.1479275,afterwards
35.100483,-3.4850721,thinking
41.253803,33.326267,happiness
-27.871664,-11.435533,spread
-14.670405,26.741808,lips
25.760967,-2.8155565,show
6.0582023,61.406956,caesar
-51.09069,12.378275,gathered
-29.128529,42.89069,ear
66.55317,19.304483,lucy
61.50219,17.196796,mrs_jennings
-21.180523,5.3280087,drew
12.98088,-49.431236,struck
-54.599434,-1.251036,court
-64.70152,30.473612,begat
-10.456302,49.286312,yourselves
-5.828818,-21.86275,walking
24.182579,4.606477,fact
21.5013,8.61336,whatever
16.599676,-54.50332,shut
5.6297235,-47.496,big
17.038889,12.933412,age
-31.004381,-40.634815,stars
-38.92137,13.297336,service
36.74178,-0.6696073,mad
0.11438793,-39.473072,seat
4.7758183,4.93023,form
-10.011561,11.651152,led
22.43816,3.9975715,natural
-34.758133,-39.71679,mountain
24.24892,42.62894,worse
51.29889,0.627779,talked
55.290234,20.580229,particular
-4.1464562,-38.433933,around
26.343191,2.3227382,nobody
23.19507,5.2755013,exactly
-54.911015,12.644905,inhabitants
-40.76929,45.213963,48
-34.763046,-25.151817,grass
-55.37467,-8.173287,offered
-10.983677,-14.915102,clear
34.191902,39.556667,obliged
-2.75515,-57.212524,deck
16.086952,37.724,appear
-18.671087,19.52181,rejoice
61.6228,3.5701604,hours
22.066902,5.658224,different
7.0981197,-43.810715,heavy
33.484417,-7.162674,won_t
42.287663,30.367731,opinion
-13.568152,-18.714079,noise
-42.198486,35.526688,moreover
-13.997326,0.2153205,places
-43.4861,-6.433219,sheep
-50.79472,24.82878,joshua
-26.425406,-14.578263,faces
-32.601334,18.401262,gather
-30.12526,-5.3200397,horse
-6.7000766,19.887688,presence
41.132145,16.387415,giving
23.230139,-31.57777,tried
-40.804863,15.801759,beside
60.778347,18.917107,willoughby
46.005802,25.579727,acquaintance
-27.482052,18.615744,cut_off
40.904152,30.634916,equal
21.27275,-8.821312,touch
26.686064,-4.010161,try
15.60886,15.036971,taste
46.154835,-26.891071,ma_am
11.001253,43.559647,forget
-39.572357,-0.21287782,meat
27.025497,5.8780303,fancy
42.90133,29.133707,character
11.312124,36.235867,sorry
63.62475,20.76832,mr_elton
-44.146496,-4.581141,bound
29.485352,-2.6635396,says
-11.768047,13.860284,church
-54.838013,-21.293673,cubits
17.29961,24.185883,pay
18.901447,14.431399,purpose
-50.18787,-12.082797,fat
-48.736324,17.899952,fled
-1.559726,-33.48248,figure
10.80425,19.174187,charge
-46.4148,21.224394,arose
6.8589835,31.619675,ashamed
-60.73284,23.188856,families
-41.60892,45.80232,46
-69.38643,26.953016,reign
-25.134829,1.8881345,fallen
-11.245181,31.27509,shame
-7.1091733,29.390566,hearts
30.396433,-6.7550855,?'
-41.955517,46.0603,45
-2.102187,7.182497,youth
-16.472698,26.789124,enemy
-37.12662,3.863976,clothes
-8.331482,-46.67849,road
-26.240278,-46.029716,broad
-30.886196,21.107233,destroyed
37.257385,-33.42705,father_brown
28.479408,-44.198338,sudden
-7.1223216,18.350132,delight
-28.968517,-32.86338,streets
42.504566,14.08514,feeling
8.965529,-32.19597,cross
44.586983,23.501614,interest
-35.200424,26.073092,sought
-19.349453,25.98764,wherein
36.34567,-2.8957994,happened
-52.145317,15.854823,slew
-43.436478,24.089659,queen
-48.574463,1.3187909,gates
-30.928946,-40.5255,moon
0.749094,39.530975,carry
29.047405,36.55862,meant
-49.146038,14.889826,slain
-36.783504,33.057907,dream
-39.246033,-10.108787,beasts
-35.955452,4.0178127,clean
55.197086,-7.2527523,countenance
54.262215,-20.525276,dinner
23.84436,34.94718,promise
48.944267,-29.993513,aside
-29.750528,37.576656,woe
0.4825093,7.434711,beauty
44.86849,-31.620543,repeated
18.851883,33.67482,consider
10.9927635,21.891739,write
